player,team,pos,post_gp,reg_pa,reg_ab,post_ab,reg_runs,post_runs,reg_hits,post_hits,reg_ba,post_ba,reg_doubles,post_doubles,reg_triples,post_triples,reg_hr,post_hr,reg_rbi,post_rbi,reg_total_bases,post_total_bases,reg_walks,post_walks,reg_strikeouts,post_strikeouts,reg_stolen_bases,post_stolen_bases,reg_obp,post_obp,reg_slug,post_slug,reg_ops,post_ops
Daulton Varsho,TOR,CF,18,271,248,75,43,12,59,17,0.238,0.227,13,4,2,1,20,3,55,10,136,32,17,4,77,19,2,0,0.284,0.284,0.548,0.427,0.832,0.711
Ceddanne Rafaela,BOS,CF,3,587,546,10,84,2,136,0,0.249,0,34,0,4,0,16,0,63,2,226,0,28,2,117,4,20,0,0.295,0.167,0.414,0,0.709,0.167
Josh Naylor,SEA,1B,12,604,543,47,81,7,160,16,0.295,0.34,29,2,1,0,20,3,92,5,251,27,48,4,83,6,30,2,0.353,0.392,0.462,0.574,0.815,0.967
Ryan O'Hearn,SD,1B,3,544,474,9,67,0,133,2,0.281,0.222,21,0,1,0,17,0,63,2,207,2,58,1,109,1,3,0,0.366,0.364,0.437,0.222,0.803,0.586
Alec Bohm,PHI,3B,4,504,464,12,53,3,133,4,0.287,0.333,18,0,3,0,11,0,59,0,190,4,29,6,82,1,2,0,0.331,0.556,0.409,0.333,0.74,0.889
Nico Hoerner,CHC,2B,8,649,599,31,89,4,178,13,0.297,0.419,29,1,4,0,7,1,61,2,236,17,39,0,49,2,29,1,0.345,0.424,0.394,0.548,0.739,0.973
Fernando Tatis Jr.,SD,RF,3,691,594,12,111,2,159,1,0.268,0.083,27,0,2,0,25,0,71,0,265,1,89,1,129,4,32,1,0.368,0.154,0.446,0.083,0.814,0.237
Austin Wells,NYY,C,7,448,401,22,51,1,88,5,0.219,0.227,22,0,1,0,21,0,71,3,175,5,30,1,118,6,5,0,0.275,0.261,0.436,0.227,0.711,0.488
Matt Chapman,TOR,3B,18,535,454,71,76,7,105,21,0.231,0.296,23,3,2,0,21,4,61,11,195,37,71,7,126,18,9,0,0.34,0.368,0.43,0.521,0.77,0.889
Anthony Volpe,NYY,SS,7,596,539,26,65,2,114,5,0.212,0.192,32,1,4,0,19,1,72,2,211,9,43,0,150,16,18,0,0.272,0.192,0.391,0.346,0.663,0.538
Bryce Harper,PHI,1B,4,580,501,15,72,1,131,3,0.261,0.2,32,1,0,0,27,0,75,4,244,4,70,6,121,18,12,0,0.357,0.333,0.487,0.417,0.844,0.75
Kerry Carpenter,DET,RF,8,464,433,32,66,4,109,9,0.252,0.281,18,1,5,0,26,2,62,6,215,16,18,7,106,11,1,0,0.291,0.41,0.497,0.5,0.788,0.91
Trea Turner,PHI,SS,4,639,589,17,94,1,179,4,0.304,0.235,31,0,7,0,15,0,69,3,269,4,43,2,107,5,36,2,0.355,0.316,0.457,0.235,0.812,0.551
Mookie Betts,LAD,SS,17,663,589,70,95,4,152,16,0.258,0.229,23,4,2,1,20,0,82,8,239,22,61,10,68,9,8,0,0.326,0.333,0.406,0.314,0.732,0.648
Gleyber Torres,DET,2B,8,628,532,34,79,2,136,8,0.256,0.235,22,2,0,0,16,1,74,1,206,13,85,3,101,10,4,0,0.358,0.316,0.387,0.382,0.745,0.698
Parker Meadows,DET,CF,8,213,191,29,22,3,41,4,0.215,0.138,6,0,2,0,4,0,16,4,63,4,21,1,56,10,4,0,0.291,0.167,0.33,0.138,0.621,0.305
Jackson Chourio,MIL,CF,9,589,549,33,88,3,148,10,0.27,0.303,35,3,4,0,21,2,78,8,254,19,30,1,121,9,21,0,0.308,0.314,0.463,0.576,0.771,0.89
Randy Arozarena,SD,LF,12,709,613,48,95,10,146,9,0.238,0.188,32,1,1,0,27,2,76,1,261,13,64,4,191,19,31,5,0.334,0.304,0.426,0.271,0.76,0.574
Ian Happ,CHC,LF,8,663,569,30,87,3,138,3,0.243,0.1,32,1,0,0,23,2,79,4,239,10,87,2,151,13,6,0,0.342,0.156,0.42,0.333,0.762,0.49
Cody Bellinger,NYY,LF,7,656,588,28,89,4,160,6,0.272,0.214,25,2,5,0,29,1,98,4,282,11,57,2,90,5,13,0,0.334,0.258,0.48,0.393,0.814,0.651
William Contreras,MIL,C,9,659,566,34,89,5,147,8,0.26,0.235,28,1,0,0,17,2,76,3,226,15,84,3,120,7,6,0,0.355,0.297,0.399,0.441,0.754,0.738
Brandon Marsh,PHI,CF,4,425,379,13,59,1,106,1,0.28,0.077,25,0,2,0,11,0,43,1,168,1,38,1,110,5,7,0,0.342,0.133,0.443,0.077,0.785,0.21
Aaron Judge,NYY,RF,7,679,541,26,137,5,179,13,0.331,0.5,30,2,2,0,53,1,114,7,372,18,124,4,160,5,12,0,0.457,0.581,0.688,0.692,1.145,1.273
Nathan Lukes,TOR,RF,17,438,388,62,55,5,99,17,0.255,0.274,19,4,2,0,12,0,65,8,158,21,38,5,60,10,2,0,0.323,0.328,0.407,0.339,0.73,0.667
Manny Machado,SD,3B,3,678,615,10,91,1,169,1,0.275,0.1,33,0,0,0,27,1,95,2,283,4,55,2,131,3,14,0,0.335,0.25,0.46,0.4,0.795,0.65
Dansby Swanson,CHC,SS,8,645,590,26,84,1,144,4,0.244,0.154,24,1,3,0,24,0,77,1,246,5,47,3,168,15,20,0,0.3,0.241,0.417,0.192,0.717,0.434
Tommy Edman,LAD,2B,16,377,346,63,49,5,78,14,0.225,0.222,13,3,1,0,13,2,49,8,132,23,19,3,61,18,3,0,0.274,0.254,0.382,0.365,0.656,0.619
Shohei Ohtani,LAD,DH,17,727,611,68,146,13,172,18,0.282,0.265,25,3,9,1,55,8,102,14,380,47,109,16,187,23,20,1,0.392,0.405,0.622,0.691,1.014,1.096
Elly De La Cruz,CIN,SS,2,699,629,6,102,1,166,0,0.264,0,31,0,7,0,22,0,86,2,277,0,67,2,181,4,37,0,0.336,0.25,0.44,0,0.776,0.25
Max Muncy,LAD,3B,17,388,313,56,48,8,76,12,0.243,0.214,10,2,2,0,19,3,67,3,147,23,64,11,83,17,4,0,0.376,0.353,0.47,0.411,0.846,0.764
Christian Yelich,MIL,LF,9,644,573,33,88,3,151,6,0.264,0.182,21,1,0,0,29,0,103,0,259,7,64,5,167,9,16,1,0.343,0.289,0.452,0.212,0.795,0.502
Kyle Manzardo,CLE,1B,3,531,470,11,47,0,110,1,0.234,0.091,19,0,2,0,27,0,70,0,214,1,48,1,135,3,2,0,0.313,0.167,0.455,0.091,0.768,0.258
Pete Crow-Armstrong,CHC,CF,8,647,591,27,91,0,146,5,0.247,0.185,37,0,4,0,31,0,95,3,284,5,29,1,155,12,35,1,0.287,0.214,0.481,0.185,0.768,0.399
Brice Turang,MIL,2B,9,659,584,35,97,2,168,4,0.288,0.114,28,1,2,0,18,1,81,3,254,8,66,2,150,14,24,0,0.359,0.162,0.435,0.229,0.794,0.391
Freddy Fermin,SD,C,3,347,319,11,32,0,80,4,0.251,0.364,13,2,0,0,5,0,26,0,108,6,19,0,65,1,1,0,0.297,0.364,0.339,0.545,0.636,0.909
J.P. Crawford,SEA,SS,12,654,570,40,69,3,151,8,0.265,0.2,24,1,0,1,12,0,58,4,211,12,74,4,122,7,8,0,0.352,0.261,0.37,0.3,0.722,0.561
Luis Arraez,SD,1B,3,675,620,11,66,0,181,2,0.292,0.182,30,1,4,0,8,0,61,0,243,2,34,0,21,1,11,1,0.327,0.182,0.392,0.182,0.719,0.364
Dillon Dingler,DET,C,8,469,435,30,54,3,121,5,0.278,0.167,21,2,2,0,13,1,57,2,185,10,23,5,110,10,0,0,0.327,0.306,0.425,0.333,0.752,0.639
Jake Cronenworth,SD,2B,3,515,419,11,61,0,103,0,0.246,0,20,0,1,0,11,0,59,0,158,0,69,3,107,3,3,0,0.367,0,0.377,0,0.744,0
Seiya Suzuki,CHC,RF,8,651,571,31,75,4,140,7,0.245,0.226,31,3,3,0,32,3,103,5,273,19,71,1,164,10,5,0,0.326,0.25,0.478,0.613,0.804,0.863
Jorge Polanco,SEA,2B,12,524,471,48,64,7,125,10,0.265,0.208,30,1,0,0,26,3,78,8,233,20,42,4,82,12,6,0,0.326,0.269,0.495,0.417,0.821,0.686
J.T. Realmuto,PHI,C,4,550,502,17,57,3,129,6,0.257,0.353,26,2,1,1,12,1,52,3,193,13,35,0,129,3,8,0,0.315,0.353,0.384,0.765,0.699,1.118
Alejandro Kirk,TOR,C,18,506,451,71,45,11,127,18,0.282,0.254,18,2,0,0,15,5,76,13,190,35,48,9,59,13,1,0,0.348,0.349,0.421,0.493,0.769,0.842
Jackson Merrill,SD,CF,3,483,440,9,59,2,116,3,0.264,0.333,25,2,6,0,16,1,67,2,201,8,33,1,108,2,1,0,0.317,0.364,0.457,0.889,0.774,1.253
Trevor Story,BOS,SS,3,654,612,13,91,2,161,5,0.263,0.385,29,0,0,0,25,1,96,3,265,8,33,0,176,4,31,1,0.308,0.385,0.433,0.615,0.741,1
Vladimir Guerrero Jr.,TOR,1B,18,680,589,73,96,18,172,29,0.292,0.397,34,5,0,0,23,8,84,15,275,58,81,14,94,7,6,0,0.381,0.494,0.467,0.795,0.848,1.289
Kyle Schwarber,PHI,LF,4,724,604,16,111,2,145,3,0.24,0.188,23,1,2,0,56,2,132,3,340,10,108,2,197,8,10,0,0.365,0.278,0.563,0.625,0.928,0.903
Tyler Stephenson,CIN,C,2,342,299,7,40,0,69,1,0.231,0.143,18,1,0,0,13,0,50,2,126,2,37,0,116,4,0,0,0.316,0.125,0.421,0.286,0.737,0.411
