player,team,pos,gp,ab,runs,hits,batting_average,doubles,triples,hr,runs_batted_in,total_bases,walks,strikeouts,stolen_bases,on_base_percent,slg_percent,on_base_plus_slg
Aaron Judge,NYY,RF,7,26,5,13,0.5,2,0,1,7,18,4,5,0,0.581,0.692,1.273
Nico Hoerner,CHC,2B,8,31,4,13,0.419,1,0,1,2,17,0,2,1,0.424,0.548,0.973
Ernie Clement,TOR,3B,18,73,13,30,0.411,6,1,1,9,41,1,5,1,0.416,0.562,0.977
Vladimir Guerrero Jr.,TOR,1B,18,73,18,29,0.397,5,0,8,15,58,14,7,0,0.494,0.795,1.289
Trevor Story,BOS,SS,3,13,2,5,0.385,0,0,1,3,8,0,4,1,0.385,0.615,1
Spencer Steer,CIN,1B,2,8,0,3,0.375,0,0,0,1,3,0,2,0,0.444,0.375,0.819
Addison Barger,TOR,3B,17,60,8,22,0.367,4,0,3,9,35,8,12,0,0.441,0.583,1.025
Freddy Fermin,SD,C,3,11,0,4,0.364,2,0,0,0,6,0,1,0,0.364,0.545,0.909
J.T. Realmuto,PHI,C,4,17,3,6,0.353,2,1,1,3,13,0,3,0,0.353,0.765,1.118
Josh Naylor,SEA,1B,12,47,7,16,0.34,2,0,3,5,27,4,6,2,0.392,0.574,0.967
Xander Bogaerts,SD,SS,3,12,0,4,0.333,1,0,0,1,5,0,3,1,0.333,0.417,0.75
Alec Bohm,PHI,3B,4,12,3,4,0.333,0,0,0,0,4,6,1,0,0.556,0.333,0.889
Jackson Merrill,SD,CF,3,9,2,3,0.333,2,0,1,2,8,1,2,0,0.364,0.889,1.253
Javier Baez,DET,CF,8,32,3,10,0.313,2,0,1,5,15,1,3,1,0.333,0.469,0.802
Cal Raleigh,SEA,C,12,46,8,14,0.304,2,0,5,8,31,8,17,0,0.407,0.674,1.081
Jackson Chourio,MIL,CF,9,33,3,10,0.303,3,0,2,8,19,1,9,0,0.314,0.576,0.89
Alex Bregman,HOU,3B,3,10,0,3,0.3,1,0,0,1,4,3,2,0,0.462,0.4,0.862
Michael Busch,CHC,1B,8,27,4,8,0.296,0,0,4,4,20,3,4,0,0.387,0.741,1.128
Matt Chapman,TOR,3B,18,71,7,21,0.296,3,0,4,11,37,7,18,0,0.368,0.521,0.889
George Springer,TOR,RF,16,67,14,19,0.284,6,0,4,10,37,5,17,0,0.347,0.552,0.899
Kerry Carpenter,DET,RF,8,32,4,9,0.281,1,0,2,6,16,7,11,0,0.41,0.5,0.91
Will Smith,LAD,C,15,58,8,16,0.276,2,0,2,8,24,6,18,0,0.364,0.414,0.777
Caleb Durian,MIL,3B,9,29,3,8,0.276,2,1,0,2,12,3,8,3,0.364,0.414,0.777
Nathan Lukes,TOR,RF,17,62,5,17,0.274,4,0,0,8,21,5,10,0,0.328,0.339,0.667
Shohei Ohtani,LAD,DH,17,68,13,18,0.265,3,1,8,14,47,16,23,1,0.405,0.691,1.096
Kyle Tucker,CHC,RF,8,27,5,7,0.259,0,0,1,1,10,5,5,0,0.375,0.37,0.745
Teoscar Hernandez,LAD,RF,17,70,8,18,0.257,1,0,5,13,34,5,21,0,0.303,0.486,0.788
Alejandro Kirk,TOR,C,18,71,11,18,0.254,2,0,5,13,35,9,13,0,0.349,0.493,0.842
Enrique Hernandez,LAD,1B,17,64,9,16,0.25,4,0,1,7,23,4,24,0,0.29,0.359,0.649
Jose Ramirez,CLE,3B,3,8,1,2,0.25,0,0,0,1,2,4,2,0,0.5,0.25,0.75
Trea Turner,PHI,SS,4,17,1,4,0.235,0,0,0,3,4,2,5,2,0.316,0.235,0.551
Gleyber Torres,DET,2B,8,34,2,8,0.235,2,0,1,1,13,3,10,0,0.316,0.382,0.698
William Contreras,MIL,C,9,34,5,8,0.235,1,0,2,3,15,3,7,0,0.297,0.441,0.738
Mookie Betts,LAD,SS,17,70,4,16,0.229,4,1,0,8,22,10,9,0,0.333,0.314,0.648
Austin Wells,NYY,C,7,22,1,5,0.227,0,0,0,3,5,1,6,0,0.261,0.227,0.488
Daulton Varsho,TOR,CF,18,75,12,17,0.227,4,1,3,10,32,4,19,0,0.284,0.427,0.711
Seiya Suzuki,CHC,RF,8,31,4,7,0.226,3,0,3,5,19,1,10,0,0.25,0.613,0.863
Ryan O'Hearn,SD,1B,3,9,0,2,0.222,0,0,0,2,2,1,1,0,0.364,0.222,0.586
Tommy Edman,LAD,2B,16,63,5,14,0.222,3,0,2,8,23,3,18,0,0.254,0.365,0.619
Freddie Freeman,LAD,1B,17,68,7,15,0.221,5,0,2,3,26,10,16,1,0.338,0.382,0.72
Andres Gimenez,TOR,2B,18,65,10,14,0.215,2,0,2,12,22,4,16,1,0.288,0.338,0.626
Max Muncy,LAD,3B,17,56,8,12,0.214,2,0,3,3,23,11,17,0,0.353,0.411,0.764
Cody Bellinger,NYY,LF,7,28,4,6,0.214,2,0,1,4,11,2,5,0,0.258,0.393,0.651
Eugenio Suarez,SEA,3B,12,47,4,10,0.213,1,0,3,8,20,4,18,0,0.275,0.426,0.7
Riley Greene,DET,LF,8,33,4,7,0.212,2,0,1,2,12,2,9,0,0.257,0.364,0.621
Jorge Polanco,SEA,2B,12,48,7,10,0.208,1,0,3,8,20,4,12,0,0.269,0.417,0.686
Julio Rodriguez,SEA,CF,12,48,6,10,0.208,2,0,4,9,24,7,19,0,0.309,0.5,0.809
Bryce Harper,PHI,1B,4,15,1,3,0.2,1,0,0,4,4,6,18,0,0.333,0.417,0.75
J.P. Crawford,SEA,SS,12,40,3,8,0.2,1,1,0,4,12,4,7,0,0.261,0.3,0.561
Gabriel Arias,CLE,SS,3,10,0,2,0.2,0,0,0,1,2,0,3,0,0.2,0.2,0.4
Giancarlo Stanton,NYY,DH,7,26,1,5,0.192,2,0,0,4,7,3,6,0,0.267,0.269,0.536
Anthony Volpe,NYY,SS,7,26,2,5,0.192,1,0,1,2,9,0,16,0,0.192,0.346,0.538
Kyle Schwarber,PHI,LF,4,16,2,3,0.188,1,0,2,3,10,2,8,0,0.278,0.625,0.903
Randy Arozarena,SD,LF,12,48,10,9,0.188,1,0,2,1,13,4,19,5,0.304,0.271,0.574
Spencer Torkelson,DET,1B,8,32,3,6,0.188,3,0,0,6,9,3,11,0,0.297,0.281,0.579
Pete Crow-Armstrong,CHC,CF,8,27,0,5,0.185,0,0,0,3,5,1,12,1,0.214,0.185,0.399
Christian Yelich,MIL,LF,9,33,3,6,0.182,1,0,0,0,7,5,9,1,0.289,0.212,0.502
Luis Arraez,SD,1B,3,11,0,2,0.182,1,0,0,0,2,0,1,1,0.182,0.182,0.364
Jazz Chisholm Jr.,NYY,2B,7,22,3,4,0.182,0,0,1,1,7,3,5,0,0.28,0.318,0.598
Carson Kelly,CHC,C,8,28,2,5,0.179,0,0,1,1,8,1,12,0,0.233,0.286,0.519
Zach McKinstry,DET,3B,8,29,2,5,0.172,0,0,0,1,5,4,10,1,0.273,0.172,0.445
Max Kepler,PHI,LF,4,12,3,2,0.167,1,1,0,0,5,3,2,1,0.333,0.417,0.75
Steven Kwan,CLE,LF,3,12,2,2,0.167,2,0,0,0,4,0,0,0,0.167,0.333,0.5
Dillon Dingler,DET,C,8,30,3,5,0.167,2,0,1,2,10,5,10,0,0.306,0.333,0.639
Sal Frelick,MIL,RF,9,31,2,5,0.161,1,0,0,1,6,2,5,1,0.206,0.194,0.399
Dansby Swanson,CHC,SS,8,26,1,4,0.154,1,0,0,1,5,3,15,0,0.241,0.192,0.434
Andrew Vaughn,MIL,1B,9,26,4,4,0.154,0,0,2,4,10,4,2,0,0.267,0.385,0.651
Bryson Stott,PHI,2B,4,13,0,2,0.154,0,0,0,2,2,0,4,1,0.154,0.154,0.308
Tyler Stephenson,CIN,C,2,7,0,1,0.143,1,0,0,2,2,0,4,0,0.125,0.286,0.411
Austin Hays,CIN,LF,7,28,3,4,0.143,2,0,1,4,11,2,5,0,0.25,0.143,0.393
Trent Grisham,SD,CF,7,29,4,4,0.138,0,0,0,0,6,3,10,1,0.219,0.207,0.426
Parker Meadows,DET,CF,8,29,3,4,0.138,0,0,0,4,4,1,10,0,0.167,0.138,0.305
Nick Castellanos,PHI,RF,4,15,1,2,0.133,2,0,0,3,4,0,3,0,0.133,0.267,0.4
TJ Friedl,CIN,CF,2,8,0,1,0.125,0,0,0,0,1,2,3,0,0.3,0.125,0.425
Brice Turang,MIL,2B,9,35,2,4,0.114,1,0,1,3,8,2,14,0,0.162,0.229,0.391
Manny Machado,SD,3B,3,10,1,1,0.1,0,0,1,2,4,2,3,0,0.25,0.4,0.65
Ian Happ,CHC,LF,8,30,3,3,0.1,1,0,2,4,10,2,13,0,0.156,0.333,0.49
Jarren Duran,BOS,LF,3,11,1,1,0.091,0,0,0,0,1,0,4,0,0.167,0.091,0.258
Kyle Manzardo,CLE,1B,3,11,0,1,0.091,0,0,0,0,1,1,3,0,0.167,0.091,0.258
Fernando Tatis Jr.,SD,RF,3,12,2,1,0.083,0,0,0,0,1,1,4,1,0.154,0.083,0.237
Andy Pages,LAD,CF,16,51,2,4,0.078,1,0,0,1,5,0,11,0,0.113,0.098,0.211
Brandon Marsh,PHI,CF,4,13,1,1,0.077,0,0,0,1,1,1,5,0,0.133,0.077,0.21
Jake Cronenworth,SD,2B,3,11,0,0,0,0,0,0,0,0,3,3,0,0,0,0
Elly De La Cruz,CIN,SS,2,6,1,0,0,0,0,0,2,0,2,4,0,0.25,0,0.25
Ceddanne Rafaela,BOS,CF,3,10,2,0,0,0,0,0,2,0,2,4,0,0.167,0,0.167
Carlos Narvaez,BOS,C,3,8,0,0,0,0,0,0,0,0,3,4,0,0.273,0,0.273
